coq	series	p_lot	cultivation_batch	row	parameter	class	carried_from_initial	register_status	certificates_that_report_it
CoQ-PP_26-002	initial	BSS1024	BSS1024	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 197-2-М/26 10.08.2026 = ND (after the CoQ) | exact 197-2-М/26 10.08.2026 = ND (after the CoQ) | exact 197-2-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-002	initial	BSS1024	BSS1024	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 197-2-М/26 10.08.2026 = ND (after the CoQ) | exact 197-2-М/26 10.08.2026 = ND (after the CoQ) | exact 197-2-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-003	initial	BG1024	BG1024	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact None 10.08.2026 = ND (after the CoQ) | exact 197-1-М/26  = ND (after the CoQ) | exact 197-1-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-003	initial	BG1024	BG1024	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact None 10.08.2026 = ND (after the CoQ) | exact 197-1-М/26  = ND (after the CoQ) | exact 197-1-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-005	initial	HPA1024	HPA1024	3	Identification C (HPLC)	LATER-ROUND		not tested by a release certificate — the release round's cannabinoid 	in-house in-house record, no certificate  = Conforms | Одговара | in-house in-house record, no certificate 23.04.2025 = Confirms | exact 197-13-К/26 07.08.2026 = Conforms (after the CoQ)
CoQ-PP_26-005	initial	HPA1024	HPA1024	6	Total CBN	LATER-ROUND		not tested by a release certificate — the release round's cannabinoid 	exact 197-13-К/26 07.08.2026 = 0.36 (after the CoQ) | exact 197-13-К/26 07.08.2026 = 0.36 (after the CoQ) | in-house in-house record, no certificate 23.04.2025 = N.D.
CoQ-PP_26-005	initial	HPA1024	HPA1024	8	Loss on drying	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-005	initial	HPA1024	HPA1024	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 197-13-М/26 10.08.2026 = ND (after the CoQ) | exact 197-13-М/26 10.08.2026 = ND (after the CoQ) | exact 197-13-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-005	initial	HPA1024	HPA1024	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 197-13-М/26 10.08.2026 = <LOQ (after the CoQ) | exact 197-13-М/26 10.08.2026 = <LOQ (after the CoQ) | exact 197-13-М/26 10.08.2026 = < LOQ (after the CoQ)
CoQ-PP_26-006	initial	OPM1024	OPM1024	3	Identification C (HPLC)	LATER-ROUND		not tested by a release certificate — the release round's cannabinoid 	in-house in-house record, no certificate  = Conforms | Одговара | in-house in-house record, no certificate 23.04.2025 = Confirms | exact 197-17-К/26 07.08.2026 = Conforms (after the CoQ)
CoQ-PP_26-006	initial	OPM1024	OPM1024	6	Total CBN	LATER-ROUND		not tested by a release certificate — the release round's cannabinoid 	exact None 07.08.2026 = <LOQ (after the CoQ) | exact 197-17-К/26  = <LOQ (after the CoQ) | in-house in-house record, no certificate 23.04.2025 = 0.02%
CoQ-PP_26-006	initial	OPM1024	OPM1024	8	Loss on drying	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-006	initial	OPM1024	OPM1024	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 197-17-М/26 10.08.2026 = ND (after the CoQ) | exact 197-17-М/26 10.08.2026 = ND (after the CoQ) | exact 197-17-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-006	initial	OPM1024	OPM1024	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 197-17-М/26 10.08.2026 = ND (after the CoQ) | exact 197-17-М/26 10.08.2026 = ND (after the CoQ) | exact 197-17-М/26 10.08.2026 = ND (after the CoQ)
