coq	series	p_lot	cultivation_batch	row	parameter	class	carried_from_initial	register_status	certificates_that_report_it
CoQ-PP_26-004	initial	GG1024	GG1024	3	Identification C (HPLC)	IN-HOUSE-ONLY		not tested at release — measured in the retest round, 220-9-К/26 of 25	in-house in-house record, no certificate  = Conforms | Одговара | in-house in-house record, no certificate 23.04.2025 = Confirms
CoQ-PP_26-004	initial	GG1024	GG1024	4	Total THC	LATER-ROUND		not tested at release — measured in the retest round, 220-9-К/26 of 25	exact 220-9-К/26  = 15.51 (after the CoQ) | in-house in-house record, no certificate  = 13.34 | in-house in-house record, no certificate 23.04.2025 = 13.34 %
CoQ-PP_26-004	initial	GG1024	GG1024	5	Total CBD	LATER-ROUND		not tested at release — measured in the retest round, 220-9-К/26 of 25	exact 220-9-К/26  = <LOQ (after the CoQ) | in-house in-house record, no certificate  = 0.03 | in-house in-house record, no certificate 23.04.2025 = 0.03 %
CoQ-PP_26-004	initial	GG1024	GG1024	6	Total CBN	LATER-ROUND		not tested at release — measured in the retest round, 220-9-К/26 of 25	exact 220-9-К/26  = <LOQ (after the CoQ) | in-house in-house record, no certificate 23.04.2025 = N.D.
CoQ-PP_26-004	initial	GG1024	GG1024	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-9-М/26  = ND (after the CoQ)
CoQ-PP_26-004	initial	GG1024	GG1024	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-9-М/26  = ND (after the CoQ)
CoQ-PP_26-010	initial	P050042	OMP1024_01	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-21-М/26  = ND (after the CoQ)
CoQ-PP_26-010	initial	P050042	OMP1024_01	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-21-М/26  = ND (after the CoQ)
CoQ-PP_26-013	initial	P050072	GP0824_03	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-11-М/26  = ND (after the CoQ)
CoQ-PP_26-013	initial	P050072	GP0824_03	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-11-М/26  = ND (after the CoQ)
CoQ-PP_26-014	initial	P050082	OPM1024_03	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-23-М/26  = ND (after the CoQ) | parent 197-17-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-014	initial	P050082	OPM1024_03	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-23-М/26  = ND (after the CoQ) | parent 197-17-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-017	initial	P050112	MB0824_05	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-20-М/26  = ND (after the CoQ)
CoQ-PP_26-017	initial	P050112	MB0824_05	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-20-М/26  = ND (after the CoQ)
CoQ-PP_26-024	initial	P050182	HPA052501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-15-М/26  = ND (after the CoQ)
CoQ-PP_26-024	initial	P050182	HPA052501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-15-М/26  = ND (after the CoQ)
CoQ-PP_26-025	initial	P050192	BSS052501	3	Identification C (HPLC)	IN-HOUSE-ONLY		not tested at release — measured in the retest round, 220-2-К/26 of 25	in-house in-house record, no certificate  = Conforms | Одговара
CoQ-PP_26-025	initial	P050192	BSS052501	6	Total CBN	LATER-ROUND		not tested at release — measured in the retest round, 220-2-К/26 of 25	exact 220-2-К/26  = <LOQ (after the CoQ)
CoQ-PP_26-025	initial	P050192	BSS052501	10.2	Aflatoxins total	LATER-ROUND		not tested — no certificate for this lot; requested from the laborator	exact 220-2-М/26  = ND (after the CoQ)
CoQ-PP_26-028	initial	P050222	CJ062501/1	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-3-М/26  = ND (after the CoQ)
CoQ-PP_26-028	initial	P050222	CJ062501/1	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-3-М/26  = ND (after the CoQ)
CoQ-PP_26-034	initial	P050302	GP072501/2	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-10-М/26  = ND (after the CoQ)
CoQ-PP_26-034	initial	P050302	GP072501/2	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-10-М/26  = ND (after the CoQ)
CoQ-PP_26-035	initial	P050312	GP082501/1	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-12-М/26  = ND (after the CoQ)
CoQ-PP_26-035	initial	P050312	GP082501/1	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-12-М/26  = ND (after the CoQ)
CoQ-PP_26-037	initial	P060012	WC082501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-28-М/26  = ND (after the CoQ)
CoQ-PP_26-037	initial	P060012	WC082501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-28-М/26  = ND (after the CoQ)
CoQ-PP_26-038	initial	P060022	CJ082501/1	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-4-М/26  = ND (after the CoQ)
CoQ-PP_26-038	initial	P060022	CJ082501/1	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-4-М/26  = ND (after the CoQ)
CoQ-PP_26-043	initial	P060072	CJ092501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-5-М/26  = ND (after the CoQ)
CoQ-PP_26-043	initial	P060072	CJ092501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-5-М/26  = ND (after the CoQ)
CoQ-PP_26-045	initial	P060092	GP092501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-13-М/26  = ND (after the CoQ)
CoQ-PP_26-045	initial	P060092	GP092501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-13-М/26  = ND (after the CoQ)
CoQ-PP_26-047	initial	P060112	PUM102501	4	Total THC	LATER-ROUND		not tested at release — measured in the retest round, 220-25-К/26 of 2	exact 220-25-К/26  = 13.95 (after the CoQ)
CoQ-PP_26-047	initial	P060112	PUM102501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-25-М/26  = ND (after the CoQ)
CoQ-PP_26-047	initial	P060112	PUM102501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-25-М/26  = ND (after the CoQ)
CoQ-PP_26-048	initial	P060122	ACC102501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-1-М/26  = ND (after the CoQ)
CoQ-PP_26-048	initial	P060122	ACC102501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-1-М/26  = ND (after the CoQ)
CoQ-PP_26-049	initial	P060132	CF102501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-6-М/26  = ND (after the CoQ)
CoQ-PP_26-049	initial	P060132	CF102501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-6-М/26  = ND (after the CoQ)
CoQ-PP_26-053	initial	P060172	KC102501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-19-М/26  = ND (after the CoQ)
CoQ-PP_26-053	initial	P060172	KC102501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-19-М/26  = ND (after the CoQ)
CoQ-PP_26-054	initial	P060182	GRC102501/2	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-14-М/26  = ND (after the CoQ)
CoQ-PP_26-054	initial	P060182	GRC102501/2	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-14-М/26  = ND (after the CoQ)
CoQ-PP_26-059	initial	P060232	PM112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-24-М/26  = ND (after the CoQ)
CoQ-PP_26-059	initial	P060232	PM112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-24-М/26  = ND (after the CoQ)
CoQ-PP_26-064	initial	P060282	SCR112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-26-М/26  = ND (after the CoQ)
CoQ-PP_26-064	initial	P060282	SCR112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-26-М/26  = ND (after the CoQ)
CoQ-PP_26-069	initial	P060322	FB012601/1	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-8-М/26  = ND (after the CoQ)
CoQ-PP_26-069	initial	P060322	FB012601/1	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-8-М/26  = ND (after the CoQ)
CoQ-PP_26-071	initial	P060362	JD012603/01	3	Identification C (HPLC)	UNTESTED		not tested at release — measured in the retest round, 220-16-К/26 of 2	
CoQ-PP_26-071	initial	P060362	JD012603/01	4	Total THC	LATER-ROUND		not tested at release — measured in the retest round, 220-16-К/26 of 2	exact 220-16-К/26  = 21.01 (after the CoQ)
CoQ-PP_26-071	initial	P060362	JD012603/01	5	Total CBD	LATER-ROUND		not tested at release — measured in the retest round, 220-16-К/26 of 2	exact 220-16-К/26  = <LOQ (after the CoQ)
CoQ-PP_26-071	initial	P060362	JD012603/01	6	Total CBN	LATER-ROUND		not tested at release — measured in the retest round, 220-16-К/26 of 2	exact 220-16-К/26  = <LOQ (after the CoQ)
CoQ-PP_26-071	initial	P060362	JD012603/01	8	Loss on drying	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-071	initial	P060362	JD012603/01	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-16-М/26  = ND (after the CoQ)
CoQ-PP_26-071	initial	P060362	JD012603/01	10.2	Aflatoxins total	LATER-ROUND		not tested — no certificate for this lot; requested from the laborator	exact 220-16-М/26  = ND (after the CoQ)
CoQ-PP_26-071	initial	P060362	JD012603/01	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-16-М/26  = ND (after the CoQ)
CoQ-PP_26-071	initial	P060362	JD012603/01	11.1	Lead	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-071	initial	P060362	JD012603/01	11.2	Cadmium	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-071	initial	P060362	JD012603/01	11.3	Arsenic	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-071	initial	P060362	JD012603/01	11.4	Mercury	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-071	initial	P060362	JD012603/01	12	Pesticide residues	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-072	initial	P060372	CC012603	3	Identification C (HPLC)	UNTESTED		not tested at release — measured in the retest round, 220-29-К/26 of 2	
CoQ-PP_26-072	initial	P060372	CC012603	4	Total THC	LATER-ROUND		not tested at release — measured in the retest round, 220-29-К/26 of 2	exact 220-29-К/26  = 14.76 (after the CoQ)
CoQ-PP_26-072	initial	P060372	CC012603	5	Total CBD	LATER-ROUND		not tested at release — measured in the retest round, 220-29-К/26 of 2	exact 220-29-К/26  = <LOQ (after the CoQ)
CoQ-PP_26-072	initial	P060372	CC012603	6	Total CBN	LATER-ROUND		not tested at release — measured in the retest round, 220-29-К/26 of 2	exact 220-29-К/26  = <LOQ (after the CoQ)
CoQ-PP_26-072	initial	P060372	CC012603	8	Loss on drying	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-072	initial	P060372	CC012603	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-29-М/26  = ND (after the CoQ)
CoQ-PP_26-072	initial	P060372	CC012603	10.2	Aflatoxins total	LATER-ROUND		not tested — no certificate for this lot; requested from the laborator	exact 220-29-М/26  = ND (after the CoQ)
CoQ-PP_26-072	initial	P060372	CC012603	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-29-М/26  = ND (after the CoQ)
CoQ-PP_26-072	initial	P060372	CC012603	11.1	Lead	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-072	initial	P060372	CC012603	11.2	Cadmium	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-072	initial	P060372	CC012603	11.3	Arsenic	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-072	initial	P060372	CC012603	11.4	Mercury	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-072	initial	P060372	CC012603	12	Pesticide residues	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-076	initial	P060422	JD012603/02V	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-18-М/26  = ND (after the CoQ)
CoQ-PP_26-076	initial	P060422	JD012603/02V	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-18-М/26  = ND (after the CoQ)
CoQ-PP_26-078	initial	P060412	JD012603/02	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-17-М/26  = ND (after the CoQ)
CoQ-PP_26-078	initial	P060412	JD012603/02	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 220-17-М/26  = ND (after the CoQ)
CoQ-PP_26-108	retest	P060372	CC012603	8	Loss on drying	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0024) — not tested — no 	
CoQ-PP_26-108	retest	P060372	CC012603	11.1	Lead	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0024) — not tested — no 	
CoQ-PP_26-108	retest	P060372	CC012603	11.2	Cadmium	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0024) — not tested — no 	
CoQ-PP_26-108	retest	P060372	CC012603	11.3	Arsenic	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0024) — not tested — no 	
CoQ-PP_26-108	retest	P060372	CC012603	11.4	Mercury	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0024) — not tested — no 	
CoQ-PP_26-108	retest	P060372	CC012603	12	Pesticide residues	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0024) — not tested — no 	
CoQ-PP_26-122	retest	P060362	JD012603/01	8	Loss on drying	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0020) — not tested — no 	
CoQ-PP_26-122	retest	P060362	JD012603/01	11.1	Lead	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0020) — not tested — no 	
CoQ-PP_26-122	retest	P060362	JD012603/01	11.2	Cadmium	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0020) — not tested — no 	
CoQ-PP_26-122	retest	P060362	JD012603/01	11.3	Arsenic	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0020) — not tested — no 	
CoQ-PP_26-122	retest	P060362	JD012603/01	11.4	Mercury	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0020) — not tested — no 	
CoQ-PP_26-122	retest	P060362	JD012603/01	12	Pesticide residues	UNTESTED	yes	carried from the initial testing (CoQ-PP-2026-0020) — not tested — no 	
