Batch,Cultivation batch,Strain,#1,#2,#3,#4,#5,#6,#7,#8,#9.1,#9.2,#9.3,#9.4,#9.5,#9.6,#9.7,#10.1,#10.2,#10.3,#11.1,#11.2,#11.3,#11.4,#12
CJ1024,CJ1024,Cap Junky,"iCoA-PP_26-001, 03.06.2026 [internal]
iCoA-PP_26-180, 24.08.2026 [internal]","iCoA-PP_26-001, 03.06.2026 [internal]
iCoA-PP_26-180, 24.08.2026 [internal]","ППК25052, 26.02.2025
227-26-К/26, 11.09.2026","ППК25052, 26.02.2025
227-26-К/26, 11.09.2026","ППК25052, 26.02.2025
227-26-К/26, 11.09.2026","release — not tested — no certificate covers it
227-26-К/26, 11.09.2026","iCoA-PP_26-001, 03.06.2026 [internal]
iCoA-PP_26-180, 24.08.2026 [internal]","ППК25052, 26.02.2025","164/0272/25, 24.02.2025
565/1096/26, 01.09.2026","164/0272/25, 24.02.2025
565/1096/26, 01.09.2026","164/0272/25, 24.02.2025
565/1096/26, 01.09.2026","164/0272/25, 24.02.2025
565/1096/26, 01.09.2026","164/0272/25, 24.02.2025
565/1096/26, 01.09.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
227-26-М/26, 16.09.2026","750/2025, 27.02.2025
227-26-М/26, 16.09.2026","release — not tested — no certificate covers it
227-26-М/26, 16.09.2026","750/2025, 27.02.2025","750/2025, 27.02.2025","750/2025, 27.02.2025","750/2025, 27.02.2025","750/2025, 27.02.2025"
BSS1024,BSS1024,Blue Sunset Sherbet,"iCoA-PP_26-002, 03.06.2026 [internal]
iCoA-PP_26-101, 27.07.2026 [internal]","iCoA-PP_26-002, 03.06.2026 [internal]
iCoA-PP_26-101, 27.07.2026 [internal]","ППК25051, 26.02.2025
197-2-К/26, 07.08.2026","ППК25051, 26.02.2025
197-2-К/26, 07.08.2026","ППК25051, 26.02.2025
197-2-К/26, 07.08.2026","ППК25051, 26.02.2025
197-2-К/26, 07.08.2026","iCoA-PP_26-002, 03.06.2026 [internal]
iCoA-PP_26-101, 27.07.2026 [internal]","ППК25051, 26.02.2025","161/0269/25, 24.02.2025","161/0269/25, 24.02.2025","161/0269/25, 24.02.2025","161/0269/25, 24.02.2025","161/0269/25, 24.02.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-2-М/26, 10.08.2026","751/2025, 27.02.2025
197-2-М/26, 10.08.2026","release — not tested — no certificate covers it
197-2-М/26, 10.08.2026","751/2025, 27.02.2025","751/2025, 27.02.2025","751/2025, 27.02.2025","751/2025, 27.02.2025","751/2025, 27.02.2025"
BG1024,BG1024,Blue Gelato,"iCoA-PP_26-003, 03.06.2026 [internal]
iCoA-PP_26-100, 27.07.2026 [internal]","iCoA-PP_26-003, 03.06.2026 [internal]
iCoA-PP_26-100, 27.07.2026 [internal]","ППК25050, 26.02.2025
197-1-К/26, 07.08.2026","ППК25050, 26.02.2025
197-1-К/26, 07.08.2026","ППК25050, 26.02.2025
197-1-К/26, 07.08.2026","ППК25050, 26.02.2025
197-1-К/26, 07.08.2026","iCoA-PP_26-003, 03.06.2026 [internal]
iCoA-PP_26-100, 27.07.2026 [internal]","ППК25050, 26.02.2025","163/0271/25, 24.02.2025","163/0271/25, 24.02.2025","163/0271/25, 24.02.2025","163/0271/25, 24.02.2025","163/0271/25, 24.02.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-1-М/26, 10.08.2026","752/2025, 27.02.2025
197-1-М/26, 10.08.2026","release — not tested — no certificate covers it
197-1-М/26, 10.08.2026","752/2025, 27.02.2025","752/2025, 27.02.2025","752/2025, 27.02.2025","752/2025, 27.02.2025","752/2025, 27.02.2025"
GG1024,GG1024,Gorilla Glue,"iCoA-PP_26-004, 03.06.2026 [internal]
iCoA-PP_26-131, 17.08.2026 [internal]","iCoA-PP_26-004, 03.06.2026 [internal]
iCoA-PP_26-131, 17.08.2026 [internal]","release — not tested — no certificate covers it
220-9-К/26, 25.08.2026","release — not tested — no certificate covers it
220-9-К/26, 25.08.2026","release — not tested — no certificate covers it
220-9-К/26, 25.08.2026","release — not tested — no certificate covers it
220-9-К/26, 25.08.2026","iCoA-PP_26-004, 03.06.2026 [internal]
iCoA-PP_26-131, 17.08.2026 [internal]","ППК25008, 29.01.2025","166/0274/25, 24.02.2025","166/0274/25, 24.02.2025","166/0274/25, 24.02.2025","166/0274/25, 24.02.2025","166/0274/25, 24.02.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-9-М/26, 11.09.2026","748/2025, 04.03.2025
220-9-М/26, 11.09.2026","release — not tested — no certificate covers it
220-9-М/26, 11.09.2026","748/2025, 04.03.2025","748/2025, 04.03.2025","748/2025, 04.03.2025","748/2025, 04.03.2025","748/2025, 04.03.2025"
HPA1024,HPA1024,High Pro Amnesia,"iCoA-PP_26-005, 03.06.2026 [internal]
iCoA-PP_26-112, 27.07.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]
iCoA-PP_26-112, 27.07.2026 [internal]","release — not tested — no certificate covers it
197-13-К/26, 07.08.2026","iCoA-PP_26-005, 03.06.2026 [internal]
197-13-К/26, 07.08.2026","iCoA-PP_26-005, 03.06.2026 [internal]
197-13-К/26, 07.08.2026","release — not tested — no certificate covers it
197-13-К/26, 07.08.2026","iCoA-PP_26-005, 03.06.2026 [internal]
iCoA-PP_26-112, 27.07.2026 [internal]","release — not tested — no certificate covers it
reissue — retest — carried from the initial testing (CoQ-PP-2025-0004) — not tested — no certificate covers it","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-13-М/26, 10.08.2026","iCoA-PP_26-005, 03.06.2026 [internal]
197-13-М/26, 10.08.2026","release — not tested — no certificate covers it
197-13-М/26, 10.08.2026","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]","iCoA-PP_26-005, 03.06.2026 [internal]"
OPM1024,OPM1024,Orange Punch Mimosa,"iCoA-PP_26-006, 03.06.2026 [internal]
iCoA-PP_26-116, 27.07.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]
iCoA-PP_26-116, 27.07.2026 [internal]","release — not tested — no certificate covers it
197-17-К/26, 07.08.2026","iCoA-PP_26-006, 03.06.2026 [internal]
197-17-К/26, 07.08.2026","iCoA-PP_26-006, 03.06.2026 [internal]
197-17-К/26, 07.08.2026","release — not tested — no certificate covers it
197-17-К/26, 07.08.2026","iCoA-PP_26-006, 03.06.2026 [internal]
iCoA-PP_26-116, 27.07.2026 [internal]","release — not tested — no certificate covers it
reissue — retest — carried from the initial testing (CoQ-PP-2025-0005) — not tested — no certificate covers it","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-17-М/26, 10.08.2026","iCoA-PP_26-006, 03.06.2026 [internal]
197-17-М/26, 10.08.2026","release — not tested — no certificate covers it
197-17-М/26, 10.08.2026","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]","iCoA-PP_26-006, 03.06.2026 [internal]"
P050022,GP0824_02,Grape Pie,"iCoA-PP_26-008, 03.06.2026 [internal]
iCoA-PP_26-108, 27.07.2026 [internal]","iCoA-PP_26-008, 03.06.2026 [internal]
iCoA-PP_26-108, 27.07.2026 [internal]","ППК25139, 22.05.2025
197-11-К/26, 07.08.2026","ППК25139, 22.05.2025
197-11-К/26, 07.08.2026","ППК25139, 22.05.2025
197-11-К/26, 07.08.2026","ППК25139, 22.05.2025
197-11-К/26, 07.08.2026","iCoA-PP_26-008, 03.06.2026 [internal]
iCoA-PP_26-108, 27.07.2026 [internal]","ППК25139, 22.05.2025","471-0862-25, 22.05.2025
627/1128/25, 02.07.2025","471-0862-25, 22.05.2025
627/1128/25, 02.07.2025","471-0862-25, 22.05.2025
627/1128/25, 02.07.2025","471-0862-25, 22.05.2025
627/1128/25, 02.07.2025","471-0862-25, 22.05.2025
627/1128/25, 02.07.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-11-М/26, 10.08.2026","2471-2025, 30.05.2025
197-11-М/26, 10.08.2026","release — not tested — no certificate covers it
197-11-М/26, 10.08.2026","2471-2025, 30.05.2025
3176/2025, 26.06.2025","2471-2025, 30.05.2025
3176/2025, 26.06.2025","2471-2025, 30.05.2025
3176/2025, 26.06.2025","2471-2025, 30.05.2025
3176/2025, 26.06.2025","2471-2025, 30.05.2025
3176/2025, 26.06.2025"
P050012,GG1024_02,Gorilla Glue,"iCoA-PP_26-009, 03.06.2026 [internal]
iCoA-PP_26-165, 24.08.2026 [internal]","iCoA-PP_26-009, 03.06.2026 [internal]
iCoA-PP_26-165, 24.08.2026 [internal]","ППК25140, 22.05.2025
227-19-К/26, 11.09.2026","ППК25140, 22.05.2025
227-19-К/26, 11.09.2026","ППК25140, 22.05.2025
227-19-К/26, 11.09.2026","release — not tested — no certificate covers it
227-19-К/26, 11.09.2026","iCoA-PP_26-009, 03.06.2026 [internal]
iCoA-PP_26-165, 24.08.2026 [internal]","ППК25140, 22.05.2025","472/0863/25, 22.05.2025
564/1095/26, 01.09.2026","472/0863/25, 22.05.2025
564/1095/26, 01.09.2026","472/0863/25, 22.05.2025
564/1095/26, 01.09.2026","472/0863/25, 22.05.2025
564/1095/26, 01.09.2026","472/0863/25, 22.05.2025
564/1095/26, 01.09.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
227-19-М/26, 16.09.2026","2472/2025, 30.05.2025
227-19-М/26, 16.09.2026","release — not tested — no certificate covers it
227-19-М/26, 16.09.2026","2472/2025, 30.05.2025","2472/2025, 30.05.2025","2472/2025, 30.05.2025","2472/2025, 30.05.2025","2472/2025, 30.05.2025"
P050032,MB0824_04,Motor Breath,"iCoA-PP_26-010, 03.06.2026 [internal]
iCoA-PP_26-173, 24.08.2026 [internal]","iCoA-PP_26-010, 03.06.2026 [internal]
iCoA-PP_26-173, 24.08.2026 [internal]","ППК25118, 06.05.2025
227-12-К/26, 11.09.2026","ППК25118, 06.05.2025
227-12-К/26, 11.09.2026","ППК25118, 06.05.2025
227-12-К/26, 11.09.2026","release — not tested — no certificate covers it
227-12-К/26, 11.09.2026","iCoA-PP_26-010, 03.06.2026 [internal]
iCoA-PP_26-173, 24.08.2026 [internal]","ППК25118, 06.05.2025","406/0744/25, 05.05.2025
563/1094/26, 01.09.2026","406/0744/25, 05.05.2025
563/1094/26, 01.09.2026","406/0744/25, 05.05.2025
563/1094/26, 01.09.2026","406/0744/25, 05.05.2025
563/1094/26, 01.09.2026","406/0744/25, 05.05.2025
563/1094/26, 01.09.2026",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
227-12-М/26, 16.09.2026","2157/2025, 07.05.2025
227-12-М/26, 16.09.2026","release — not tested — no certificate covers it
227-12-М/26, 16.09.2026","2157/2025, 07.05.2025","2157/2025, 07.05.2025","2157/2025, 07.05.2025","2157/2025, 07.05.2025","2157/2025, 07.05.2025"
P050042,OMP1024_01,Orange Punch Mimosa,"iCoA-PP_26-092, 03.06.2026 [internal]
iCoA-PP_26-144, 17.08.2026 [internal]","iCoA-PP_26-092, 03.06.2026 [internal]
iCoA-PP_26-144, 17.08.2026 [internal]","ППК25117, 06.05.2025
220-21-К/26, 26.08.2026","ППК25117, 06.05.2025
220-21-К/26, 26.08.2026","ППК25117, 06.05.2025
220-21-К/26, 26.08.2026","ППК25117, 06.05.2025
220-21-К/26, 26.08.2026","iCoA-PP_26-092, 03.06.2026 [internal]
iCoA-PP_26-144, 17.08.2026 [internal]","ППК25117, 06.05.2025","407-0745-25, 05.05.2025
2156/2025, 07.05.2025","407-0745-25, 05.05.2025
2156/2025, 07.05.2025","407-0745-25, 05.05.2025
2156/2025, 07.05.2025","407-0745-25, 05.05.2025
2156/2025, 07.05.2025","407-0745-25, 05.05.2025
2156/2025, 07.05.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-21-М/26, 11.09.2026","2156/2025, 07.05.2025
220-21-М/26, 11.09.2026","release — not tested — no certificate covers it
220-21-М/26, 11.09.2026","2156/2025, 07.05.2025","2156/2025, 07.05.2025","2156/2025, 07.05.2025","2156/2025, 07.05.2025","2156/2025, 07.05.2025"
