doc_id	batch	cert_code	parameter	parameter_printed	read_A	read_B	arithmetic_says	DECISION	RULED_BY	BASIS
9bd83558a47a11f1858cf58865604f65	P060242		identification_a_macroscopic	Идентификација		Одговара				
9bd83558a47a11f1858cf58865604f65	P060242		identification_b_microscopic	Идентификација		Одговара				
9bd83558a47a11f1858cf58865604f65	P060242		identification_c_hplc	Идентификација		Одговара				
99b3aee2a47a11f1858cf58865604f65	PM092501	ППК26004	total_thc	Вкупно Δ9-THC***	14.60 %	14.06 %	0.38 + 15.59 x 0.877 = 14.052			
9966364ea47a11f1858cf58865604f65	PM092501	83/2026	pesticide_residues	Metoxychlor						
8bd6ba44a47a11f1858cf58865604f65	P050062		identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет (CBDA, CBD, CBN, CBNA, Δ9-THC, THCA-A)						
8bd6ba44a47a11f1858cf58865604f65	P050062		identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет (CBDA, CBD, CBN, CBNA, Δ9-THC, THCA-A)						
88ed0b26a47a11f1858cf58865604f65	OPM122501	1627/2026	pesticide_residues	вкупно DDT						
88ed0b26a47a11f1858cf58865604f65	OPM122501	1627/2026	pesticide_residues	Heptachlor(sum of Heptachlor+ Heptachlor epoxide)						
88ed0b26a47a11f1858cf58865604f65	OPM122501	1627/2026	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfate)						
88ed0b26a47a11f1858cf58865604f65	OPM122501	1627/2026	pesticide_residues	Chlordane (sum of cis- and trans-chlordane)						
969ba110a47a11f1858cf58865604f65	CJ082501_1	81/2026	pesticide_residues	vkupno DDT						
969ba110a47a11f1858cf58865604f65	CJ082501_1	81/2026	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
969ba110a47a11f1858cf58865604f65	CJ082501_1	81/2026	pesticide_residues	Endrin keton						
94a7206ea47a11f1858cf58865604f65	GP082501_1	5888/2025	pesticide_residues	вкупно DDT						
949b5716a47a11f1858cf58865604f65	GP082501_1		bile_tolerant_gram_negative	На жолчка толерантни грам-негативни бактерии	< 10¹ и > 10² CFU/g	< 10³ и > 10² CFU/g				
9357602aa47a11f1858cf58865604f65	CLE072501	5700/2025	pesticide_residues	vkupno DDT						
9357602aa47a11f1858cf58865604f65	CLE072501	5700/2025	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Deltamethrin						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Chlorpyriphos-methyl						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Chlorpyriphos-ethyl						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Endosulfan (sum of isomers and endosulfan sulfate)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Lindan						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Aldrin and dieldrin (sum of)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	HCH (sum of α-, β-, δ- and ε)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	HCB (Hexachlorbenzene)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	DDT (total)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Heptachlor (sum of heptachlor and heptachlorepoxide)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Endrin						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Chlordane (sum of cis- and trans-)						
8507816ca47a11f1858cf58865604f65	GG1024		pesticide_residues	Metoxychlor						
84124346a47a11f1858cf58865604f65	FB012601_1	2362/2026	pesticide_residues	vkupno DDT						
84124346a47a11f1858cf58865604f65	FB012601_1	2362/2026	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
84124346a47a11f1858cf58865604f65	FB012601_1	2362/2026	pesticide_residues	Metoxychlor						
909b270ea47a11f1858cf58865604f65	HPA052501	4352/2025	pesticide_residues	Dieldrin и Aldrin (expressed as Dieldrin)						
909b270ea47a11f1858cf58865604f65	HPA052501	4352/2025	pesticide_residues	вкупно DDT						
909b270ea47a11f1858cf58865604f65	HPA052501	4352/2025	pesticide_residues	Heptachlor (sum of Heptachlor+ Heptachlor epoxide)						
909b270ea47a11f1858cf58865604f65	HPA052501	4352/2025	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
909b270ea47a11f1858cf58865604f65	HPA052501	4352/2025	pesticide_residues	Chlordane (sum of cis- and trans-chlordane)						
8e8b3c4ca47a11f1858cf58865604f65	MB0824_05	3638/2025	pesticide_residues	vkupno DDT						
8b0238b4a47a11f1858cf58865604f65	OPM1024_01	2156/2025	pesticide_residues	* Lindan ( Gama HCH )						
8b0238b4a47a11f1858cf58865604f65	OPM1024_01	2156/2025	pesticide_residues	* vkupno DDT						
8b0238b4a47a11f1858cf58865604f65	OPM1024_01	2156/2025	pesticide_residues	* Endosulfan (alpha, beta and endosulfan sulfat)						
87aa3b62a47a11f1858cf58865604f65	KC102501	051-4-К/26	identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет (CBDA, CBD, CBN, CBNA, Δ9-THC, THCA-A)						
87aa3b62a47a11f1858cf58865604f65	KC102501	051-4-К/26	identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет (CBDA, CBD, CBN, CBNA, Δ9-THC, THCA-A)						
87aa3b62a47a11f1858cf58865604f65	KC102501	051-4-К/26	identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет (CBDA, CBD, CBN, CBNA, Δ9-THC, THCA-A)						
8594542aa47a11f1858cf58865604f65	GRC102501_2		identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
8594542aa47a11f1858cf58865604f65	GRC102501_2		identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
8594542aa47a11f1858cf58865604f65	GRC102501_2		identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет од канабис						
9c7664f8a47a11f1858cf58865604f65	SCR112501	305/0549/26	bile_tolerant_gram_negative	На жолчка толерантни грам-негативни бактерии	<10³ x10² CFU/g	< 10³ и >10² CFU/g				
9c67fa1ca47a11f1858cf58865604f65	SCR112501	2360/2026	pesticide_residues	vkupno DDT						
9c67fa1ca47a11f1858cf58865604f65	SCR112501	2360/2026	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
8ef8aad4a47a11f1858cf58865604f65	BSS1024_01	3177/2025	pesticide_residues	* Dieldrin и Aldrin (expressed as Dieldrin)						
8ef8aad4a47a11f1858cf58865604f65	BSS1024_01	3177/2025	pesticide_residues	* vkupno DDT						
8d02e276a47a11f1858cf58865604f65	OPM1024_03	3636/2025	pesticide_residues	* vkupno DDT						
8d02e276a47a11f1858cf58865604f65	OPM1024_03	3636/2025	pesticide_residues	* Endosulfan (alpha, beta and endosulfan sulfat)						
8d02e276a47a11f1858cf58865604f65	OPM1024_03	3636/2025	pesticide_residues	* Methoxychlor						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Aldrin						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Dieldrin и Aldrin (expressed as Dieldrin)						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	HCB						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	4,4 ' DDE						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	4,4 ' DDD						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	4,4 ' DDT						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	vkupno DDT						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	delta HCH						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	alpha HCH						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	beta HCH						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Endrin						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Chlorpyrifos-methyl						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Chlorpyrifos						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Heptachlor(sum of Heptachlor+ Heptachlor epoxide)						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Deltamethrin						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Chlordane (sum of cis- and trans-chlordane)						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Metoxychlor						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Heptachlor epoxide						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Endrin aldehyde						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	alpha Endosulfan						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	beta Endosulfan						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Endrin keton						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	trans- Chlordane						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	cis-Chlordane						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Dieldrin						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Heptachlor						
927fe85ca47a11f1858cf58865604f65	CJ072501	5697/2025	pesticide_residues	Endosulfan sulfate						
854d4b02a47a11f1858cf58865604f65	GG112501	2358/2026	pesticide_residues	Lindan ( Gama HCH )						
854d4b02a47a11f1858cf58865604f65	GG112501	2358/2026	pesticide_residues	vkupno DDT						
854d4b02a47a11f1858cf58865604f65	GG112501	2358/2026	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
93d04616a47a11f1858cf58865604f65	GP072501_1	5886/2025	pesticide_residues	vkupno DDT						
914e0a04a47a11f1858cf58865604f65	GP062501	4762/2025	pesticide_residues	вкупно DDT						
91362c18a47a11f1858cf58865604f65	GP062501	1009/1813/25	bile_tolerant_gram_negative	На жолчка толерантни грам-негативни бактерии		< 10³ и >10² CFU/g				
895cb958a47a11f1858cf58865604f65	GG1024_02	2472/2025	pesticide_residues	вкупно DDT						
895cb958a47a11f1858cf58865604f65	GG1024_02	2472/2025	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfate)						
895cb958a47a11f1858cf58865604f65	GG1024_02	2472/2025	pesticide_residues	Endrin ketон						
8610f548a47a11f1858cf58865604f65	J31112501	100-1-К/26	identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет						
8610f548a47a11f1858cf58865604f65	J31112501	100-1-К/26	identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет						
9c9343fca47a11f1858cf58865604f65	SJ102501	051-3-К/26	identification_a_macroscopic	Идентификација и квантфикација на канабиноиди во цвет од канабис		Confirms				
9c9343fca47a11f1858cf58865604f65	SJ102501	051-3-К/26	identification_b_microscopic	Идентификација и квантфикација на канабиноиди во цвет од канабис		Confirms				
9c9343fca47a11f1858cf58865604f65	SJ102501	051-3-К/26	identification_c_hplc	Идентификација и квантфикација на канабиноиди во цвет од канабис		Confirms				
9ca714f4a47a11f1858cf58865604f65			identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
9ca714f4a47a11f1858cf58865604f65			identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
9ca714f4a47a11f1858cf58865604f65			identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет од канабис						
87627a84a47a11f1858cf58865604f65	JD112501*	2365/2026	pesticide_residues	vkupno DDT						
87627a84a47a11f1858cf58865604f65	JD112501*	2365/2026	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfat)						
86c09c8ca47a11f1858cf58865604f65	JD012601*	2363/2026	pesticide_residues	vkupno DDT						
9beaca9ca47a11f1858cf58865604f65	P060332	197-6-К/26	identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет						
9beaca9ca47a11f1858cf58865604f65	P060332	197-6-К/26	identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет						
9beaca9ca47a11f1858cf58865604f65	P060332	197-6-К/26	identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет						
91d03caea47a11f1858cf58865604f65	CJ062501_2	4908/2025	pesticide_residues	vkupno DDT						
91bd3c62a47a11f1858cf58865604f65	P050212		identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет						
91bd3c62a47a11f1858cf58865604f65	P050212		identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет						
130e4ed6a85011f1a78e816a02449cdc	P060432	537/1068/26	bile_tolerant_gram_negative	На жолчна толерантни грам-негативни бактерии	< 10ˣ CFU/g	< 10² и > 10 CFU/g		B	Head of QC (azu.sozon@gmail.com)	page read by the Head of QC, chat ruling 04.09.2026: the row prints < 10² и > 10 CFU/g
